URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),OfstedLastInsp,OfstedSpecialMeasures (code),OfstedSpecialMeasures (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,InspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,CensusAreaStatisticWard (name),MSOA (name),LSOA (name),Inspectorate (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,OfstedRating (name),RSCRegion (name),Country (name),UPRN,SiteName,MSOA (code),LSOA (code)
109920,870,Reading,2226,Katesgrove Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0,Not applicable,0,Not applicable,708,2,No Special Classes,18/01/2018,681,358,323,6.6,0,Not applicable,,,Not applicable,,Supported by a federation,16743,The Kennet Federation of Katesgrove and Southcote Primary Schools,10068898,,Not applicable,29/11/2017,0,Not applicable,19/09/2018,Dorothy Street,,,Reading,Berkshire,RG1 2NL,www.katesgrove.reading.sch.uk/,1189375490,Mrs,Lisa,Telling,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E06000038,Reading,E05002323,Katesgrove,E14000889,Reading East,C1,Urban city and town,E06000038,471510,172769,,Reading 014,Reading 014A,,,,,,903,Pre LGR (1998) Berkshire,2226,Good,North-West London and South-Central England,,310031942,,E02003402,E01016374
110001,870,Reading,3300,St John's CofE (Aided) Primary School,2,Voluntary aided school,4,LA maintained schools,2,Closed,0,Not applicable,,10,Academy Converter,31/05/2016,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE27,Diocese of Oxford,0,Not applicable,420,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,24/09/2008,0,Not applicable,15/10/2018,121-147 Orts Road,,,Reading,Berkshire,RG1 3JN,www.stjohns.reading.sch.uk/,1189375540,Mrs,Angharad,Brackstone,Executive Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E06000038,Reading,E05002319,Abbey,E14000889,Reading East,C1,Urban city and town,E06000038,472834,173370,,Reading 010,Reading 010G,,,,,,903,Pre LGR (1998) Berkshire,3300,Outstanding,North-West London and South-Central England,,,,E02003398,E01033421
142735,870,Reading,3300,St John's Church of England Primary School,34,Academy converter,10,Academies,1,Open,10,Academy Converter,01/06/2016,99,,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE27,Diocese of Oxford,0,Not applicable,420,2,No Special Classes,18/01/2018,471,240,231,4.3,3,Supported by a multi-academy trust,16123,BERKSHIRE SCHOOLS TRUST,Linked to a sponsor,Berkshire Schools Trust,Not applicable,,,10056145,,Not applicable,,0,Not applicable,12/11/2018,121-147 Orts Road,,,Reading,Berkshire,RG1 3JN,www.stjohns.reading.sch.uk/,1189375540,,Martina,Parsons,Executive Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E06000038,Reading,E05002319,Abbey,E14000889,Reading East,C1,Urban city and town,E06000038,472834,173370,,Reading 010,Reading 010G,,,,,,903,Pre LGR (1998) Berkshire,3300,,North-West London and South-Central England,,310076517,,E02003398,E01033421
109785,870,Reading,2014,New Town Primary School,1,Community school,4,LA maintained schools,2,Closed,0,Not applicable,,6,For Academy,31/05/2016,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0,Not applicable,0,Not applicable,472,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,21/01/2016,0,Not applicable,15/10/2018,School Terrace,,,Reading,Berkshire,RG1 3LS,http://www.newtown.reading.sch.uk/,1189375509,Miss,Polly,Cornish,Acting Head of School,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E06000038,Reading,E05002328,Park,E14000889,Reading East,C1,Urban city and town,E06000038,473039,173643,,Reading 010,Reading 010C,,,,,,903,Pre LGR (1998) Berkshire,2014,Requires improvement,North-West London and South-Central England,,310025872,,E02003398,E01016404
142682,870,Reading,2028,New Town Primary School,28,Academy sponsor led,10,Academies,1,Open,6,New Provision,01/06/2016,99,,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,,0,Not applicable,0,Not applicable,472,0,Not applicable,18/01/2018,297,148,149,19.4,3,Supported by a multi-academy trust,16123,BERKSHIRE SCHOOLS TRUST,Linked to a sponsor,Berkshire Schools Trust,Not applicable,,,10056090,,,,0,Not applicable,20/09/2018,School Terrace,,,Reading,Berkshire,RG1 3LS,,1189375509,,Angharad,Brackstone,,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E06000038,Reading,E05002328,Park,E14000889,Reading East,C1,Urban city and town,E06000038,473039,173643,,Reading 010,Reading 010C,,,,,,999,,,,North-West London and South-Central England,,310025872,,E02003398,E01016404
402284,676,Caerphilly,1111,INCLUDE (CfBT Education Trust),30,Welsh establishment,6,Welsh schools,2,Closed,6,New Provision,01/09/2011,2,Closure,31/08/2013,0,Not applicable,,,9,,Not applicable,0,Not applicable,9,,99,,,0,Not applicable,9,,,0,Not applicable,,,,,,0,Not applicable,,,Not applicable,,Not applicable,,,10001298,,,,0,Not applicable,24/09/2015,Head Office: 60 Queens Road,,,Reading,Berkshire,RG1 4BS,,2920595923,,,,,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not approved,,,,,,,,,,,,,,,,,,,W,Wales (pseudo),E06000038,Reading,E05002319,Abbey,E14000889,Reading East,C1,Urban city and town,W06000018,,,,Reading 011,Reading 011G,,,,,,999,,1001,,,,,,E02003399,E01033418
137999,870,Reading,6011,Red Balloon Learner Centre Reading,11,Other independent school,3,Independent schools,1,Open,6,New Provision,26/03/2012,99,,,0,Not applicable,11,18,1,No boarders,Not applicable,1,Has a sixth form,3,Mixed,6,None,None,0,Not applicable,0,Not applicable,24,0,Not applicable,18/01/2018,16,9,7,,0,Not applicable,,,Not applicable,,Not applicable,,,10037060,,Not applicable,,0,Not applicable,14/11/2018,220-222 Kings Road,,,Reading,Berkshire,RG1 4JJ,www.redballoonlearner.org,1189583004,Ms,Emma,Goodfellow,Co-ordinator,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not approved,,,,,,,,,,,,,,,,,,,J,South East,E06000038,Reading,E05002330,Redlands,E14000889,Reading East,C1,Urban city and town,E06000038,472526,173247,,Reading 014,Reading 014F,ISI,11,3,Does not have boarders,Caroline Herbert,999,,,,North-West London and South-Central England,,310008943,,E02003402,E01016414
135724,870,Reading,6200,Freddies (Reading) Limited,10,Other independent special school,5,Special schools,2,Closed,6,New Provision,07/10/2008,2,Closure,30/10/2012,0,Not applicable,5,11,1,No boarders,No Nursery Classes,0,Not applicable,3,Mixed,6,None,None,0,Not applicable,0,Not applicable,5,0,Not applicable,,,,,,0,Not applicable,,,Not applicable,,Not applicable,,,,,,,0,Not applicable,14/11/2018,Elite House,25 South Street,,Reading,Berkshire,RG1 4QU,,1189500190,Mr,Graham,Wilson,,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not approved,"SEMH - Social, Emotional and Mental Health",,,,,,,,,,,,,,,,,,J,South East,E06000038,Reading,E05002323,Katesgrove,E14000889,Reading East,C1,Urban city and town,E06000038,471969,173115,,Reading 011,Reading 011D,Ofsted,4,0,,Mrs Suzanne Gillies,999,,,,North-West London and South-Central England,,310012025,,E02003399,E01016378
135995,870,Reading,6016,The Deenway Montessori School,11,Other independent school,3,Independent schools,1,Open,6,New Provision,22/09/2009,99,,,0,Not applicable,3,16,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,6,None,None,0,Not applicable,0,Not applicable,110,2,No Special Classes,18/01/2018,76,38,38,,0,Not applicable,,,Not applicable,,Not applicable,,,10062729,,Not applicable,,0,Not applicable,14/11/2018,3-5 Sidmouth Street,,,Reading,Berkshire,RG1 4QX,,1189574737,Mr,M,Karim,,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not approved,,,,,,,,,,,,,,,,,,,J,South East,E06000038,Reading,E05002319,Abbey,E14000889,Reading East,C1,Urban city and town,E06000038,472105,173120,,Reading 011,Reading 011G,Ofsted,0,0,Does not have boarders,,999,,6590,,North-West London and South-Central England,,,,E02003399,E01033418
134920,870,Reading,1111,Dolphins,14,Pupil referral unit,4,LA maintained schools,2,Closed,6,New Provision,03/02/2005,1,Result of Amalgamation/Merger,31/03/2005,0,Not applicable,5,16,0,Not applicable,Not applicable,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0,Not applicable,9,,,0,Not applicable,,,,,,0,Not applicable,,,Not applicable,,Not applicable,,,,,Not applicable,,0,Not applicable,24/09/2015,Dolphins Ward,Royal Berkshire Hospital,Craven Road,Reading,Berkshire,RG1 5AN,,1189015890,,,,,Not applicable,,,,Does not provide places for Teen Mothers,,Does not have child care facilities,PRU Does have Provision for SEN,PRU Does not have EBD provision,30,Does not offer full time provision,PRU does offer tuition by another provider,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E06000038,Reading,E05002330,Redlands,E14000889,Reading East,C1,Urban city and town,E06000038,472458,173005,,Reading 014,Reading 014F,,,,,,999,,,,North-West London and South-Central England,,,,E02003402,E01016414
110042,870,Reading,5413,Kendrick School,5,Foundation school,4,LA maintained schools,2,Closed,0,Not applicable,,10,Academy Converter,31/01/2011,4,Secondary,11,18,1,No boarders,Not applicable,1,Has a sixth form,2,Girls,6,None,Does not apply,0,Not applicable,2,Selective,742,2,No Special Classes,,,,,,2,Not supported by a trust,,,Not applicable,,Not under a federation,,,10003559,,Not applicable,09/10/2008,0,Not applicable,15/10/2018,London Road,,,Reading,Berkshire,RG1 5BN,,1189015859,Mrs,M,Elms,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E06000038,Reading,E05002323,Katesgrove,E14000889,Reading East,C1,Urban city and town,E06000038,472062,172974,,Reading 011,Reading 011D,,,,,,903,Pre LGR (1998) Berkshire,5413,Outstanding,North-West London and South-Central England,,310000377,,E02003399,E01016378
136448,870,Reading,5413,Kendrick School,34,Academy converter,10,Academies,1,Open,10,Academy Converter,01/02/2011,99,,,4,Secondary,11,18,1,No boarders,Not applicable,1,Has a sixth form,2,Girls,6,None,Does not apply,0,Not applicable,2,Selective,760,2,No Special Classes,18/01/2018,746,0,746,0.4,5,Supported by a single-academy trust,3588,KENDRICK SCHOOL,-,,Not applicable,,,10032955,,Not applicable,,0,Not applicable,19/09/2018,London Road,,,Reading,Berkshire,RG1 5BN,http://www.kendrick.reading.sch.uk/,1189015859,Ms,Christine,Kattirtzi,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E06000038,Reading,E05002323,Katesgrove,E14000889,Reading East,C1,Urban city and town,E06000038,472062,172974,,Reading 011,Reading 011D,,,,,,903,Pre LGR (1998) Berkshire,5413,,North-West London and South-Central England,,310000377,,E02003399,E01016378
110165,870,Reading,6008,The Abbey School Reading,11,Other independent school,3,Independent schools,1,Open,0,Not applicable,16/03/1905,0,Not applicable,,0,Not applicable,3,18,1,No boarders,Has Nursery Classes,1,Has a sixth form,2,Girls,15,Christian,Christian,0,Not applicable,2,Selective,1134,2,No Special Classes,18/01/2018,1066,0,1066,,0,Not applicable,,,Not applicable,,Not applicable,,,10000043,,Not applicable,,0,Not applicable,30/11/2018,17 Kendrick Road,,,Reading,Berkshire,RG1 5DZ,www.theabbey.co.uk,1189872256,Mrs,R S E,Dent,Head,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,J,South East,E06000038,Reading,E05002330,Redlands,E14000889,Reading East,C1,Urban city and town,E06000038,472208,172692,,Reading 014,Reading 014F,ISI,0,104,Does not have boarders,,903,Pre LGR (1998) Berkshire,6149,,North-West London and South-Central England,,310028270,,E02003402,E01016414
110111,870,Reading,6002,St Joseph's College,11,Other independent school,3,Independent schools,1,Open,0,Not applicable,01/01/1943,0,Not applicable,,0,Not applicable,3,18,1,No boarders,Has Nursery Classes,1,Has a sixth form,3,Mixed,6,None,Roman Catholic,0,Not applicable,2,Selective,600,2,No Special Classes,18/01/2018,540,253,287,,0,Not applicable,,,Not applicable,,Not applicable,,,10006207,,Not applicable,,0,Not applicable,22/11/2018,Upper Redlands Road,,,Reading,Berkshire,RG1 5JT,www.sjcr.org.uk,1189661000,Mr,Andrew,Colpus,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,J,South East,E06000038,Reading,E05002330,Redlands,E14000889,Reading East,C1,Urban city and town,E06000038,473183,172464,,Reading 012,Reading 012E,ISI,2,3,Does not have boarders,,903,Pre LGR (1998) Berkshire,6002,,North-West London and South-Central England,,310070978,,E02003400,E01016418
